id_comercial,id_tipo_comercio,nombre,Direccion_Web,direccion,id_categoria;
0,1.0,EDILAU HOTEL EJECUTIVO,,PANAMERICANA,1.0;
1,2.0,MR LEIK,,28 DE MARZO Y 3 DE NOVIEMBRE,2.0;
2,3.0,DANOS LOS ,,EL CISNE,1.0;
3,4.0,SANTA TERESITA,,AV PANAMERICANA S/N 28 DE MARZO,3.0;
4,5.0,MG,,BELLA RICA,1.0;
"5,6.0,RESTAURANTE COMPLEJO TURISTICO OJITO,,""SAN ALFONSO, SECTOR LA INDEPENDENCIA"",1.0";
6,7.0,HOSTAL LISSETTE,,av panamericana s/N BARRIO LA FLORIDA,4.0;
7,8.0,DESCANSO DEL MINERO,,CAMILO PONCE ENRIQUEZ,5.0;
8,9.0,EDILAU HOTEL EJECUTIVO,,24 DE ENERO S/N ELOY BARROS,3.0;
9,9.0,D`CLAUS,,SAN FRANCISCO Y VIA PANAMERICANA,5.0;
10,17.0,EDILAU HOTEL EJECUTIVO,,24 DE ENERO S/N ELOY BARROS,3.0;
11,17.0,D`CLAUS,,SAN FRANCISCO Y VIA PANAMERICANA,5.0;
"12,10.0,CAMARONCITO EL,,""RUBEN GUERRERO Y FRANCISCO VIDAL, BARRIO EL MANANTIAL"",1.0";
13,10.0,LA TINAJA,,23 DE ENERO 4-45 JUAN BAUTISTA COBOS,1.0;
"14,28.0,CAMARONCITO EL,,""RUBEN GUERRERO Y FRANCISCO VIDAL, BARRIO EL MANANTIAL"",1.0";
15,28.0,LA TINAJA,,23 DE ENERO 4-45 JUAN BAUTISTA COBOS,1.0;
16,11.0,MI CASA,,BARRIO LAS PALMERAS,2.0;
17,12.0,NOCHES DE DUBAY,,PANAMERICANA S/N Y ALBERTO CHERREZ,2.0;
18,13.0,ORELLANA,,ELOY BARROS ARIAS S/N 28 DE MARZO,4.0;
19,14.0,HOTEL MILA,,Via Panamericana s/n S/N,3.0;
"20,15.0,RINCON DE LA TILAPIA EL,,""PANAMERICANA, VIA GUAYAQUIL KM 2, DIAGONAL A GASOLINERA PRIMAX"",1.0";
21,16.0,MELISSA,,ELOY BARROS Y 24 DE ENERO,1.0;
22,18.0,BALSEÑITO2,,JUAN MONTALVO Y EL MANANTIAL,1.0;
23,19.0,ORO PLAZA D.B.,,8 DE SEPTIEMBRE S/N 24 DE ENERO,4.0;
"24,20.0,MOE'S TAVERN,,""AV. RIO SIETE Y ARTURO TOALONGO, BARRIO 3 DE NOVIEMBRE"",2.0";
25,21.0,BACARDI,,HUGO BARZALLO S/N Y ERNESTO TOALONGO,5.0;
26,22.0,FLAMENCO,,PANAMERICANA SUR Y 24 DE ENERO,2.0;
27,23.0,MAR Y TIERRA,,CALLE PRINCIPAL,1.0;
28,24.0,NEGRO EL ,,SECTOR BELLA RICA,2.0;
29,25.0,YUNIOR RESTAURANT,,PANAMERICANA Y VIA A SANTA MARTHA,1.0;
30,26.0,BELLA RICA,,PANAMERICANA S/N ALBERTO CHERREZ,3.0;
31,27.0,LA COLMENA Y QUE,,,6.0;
32,29.0,CAMPANARIO EL,,CARLOS SERRANO 6-78 Y 23 DE ENERO,1.0;
33,30.0,DANIELITA,,A DE OCTUBRE Y JUAN BAUTISTA COBOS,1.0;
34,31.0,MIDNIGHT,,GUAYAQUIL Y MANUEL ANTONIO SERRANO,2.0;
35,32.0,RELLENO,,AV. 15 DE ABRIL Y AV. 24 DE SEPTIEMBRE,8.0;
