id_actividad;id_comercial
0;0
1;1
2;2
3;4
4;5
5;7
6;9
7;10
8;11
9;14
10;15
11;16
12;17
13;19
14;20
15;21
16;22
17;23
18;24
19;26
20;27
21;28
22;29
23;30
24;31
25;32
26;33
27;34
28;35
29;37
30;40
31;42
32;43
33;44
34;47
35;49
36;51
37;52
38;53
39;55
40;57
41;58
42;59
43;62
44;63
45;64
46;66
47;67
48;69
49;70
50;71
51;72
52;73
53;77
54;78
55;81
56;83
57;85
58;86
59;87
60;89
61;93
62;94
63;98
64;101
65;102
66;106
67;107
68;109
69;112
70;114
71;115
72;116
73;117
74;118
75;119
76;121
77;122
78;123
79;125
80;126
81;127
82;128
83;129
84;130
85;132
86;133
87;134
88;136
89;141
90;142
91;145
92;146
93;147
94;149
95;150
96;152
97;154
98;158
99;159
100;162
101;163
102;164
103;165
104;167
105;168
106;169
107;170
108;173
109;177
110;180
111;181
112;182
113;183
114;184
115;186
116;188
117;193
118;195
119;196
120;198
121;200
122;201
123;202
124;204
125;207
126;208
127;211
128;212
129;213
130;214
131;215
132;218
133;219
134;221
135;224
136;225
137;228
138;229
139;230
140;231
141;232
142;233
143;235
144;236
145;237
146;238
147;239
148;240
149;241
150;244
151;245
152;246
153;247
154;248
155;250
156;251
157;252
158;254
159;255
160;257
161;259
162;260
163;263
164;264
165;268
166;271
167;272
168;273
169;274
170;276
171;277
172;279
173;281
174;282
175;283
176;284
177;285
178;289
179;291
180;292
181;293
182;294
183;295
184;298
185;299
186;300
187;301
188;302
189;304
190;305
191;306
192;307
193;308
194;309
195;311
196;312
197;313
198;314
199;315
200;317
201;320
202;321
203;322
204;323
205;324
206;325
207;326
208;327
209;328
210;330
211;331
212;332
213;333
214;335
215;339
216;340
217;341
218;342
219;343
220;344
221;345
222;346
223;348
224;349
225;351
226;352
227;355
228;356
229;358
230;359
231;362
232;363
233;364
234;366
235;367
236;369
237;370
238;371
239;372
240;374
241;377
242;378
243;379
244;380
245;381
246;382
247;383
248;384
249;385
250;386
251;388
252;389
253;391
254;392
255;393
256;394
257;395
258;396
259;397
260;398
261;399
262;401
263;402
264;403
265;404
266;405
267;406
268;410
269;411
270;412
271;413
272;414
273;415
274;418
275;419
276;420
277;422
278;424
279;425
280;426
281;428
282;429
283;430
284;431
285;432
286;433
287;435
288;437
289;438
290;439
291;441
292;442
293;443
294;444
295;445
296;447
297;449
298;450
299;451
300;452
301;453
302;454
303;456
304;457
305;458
306;460
307;462
308;464
309;465
310;466
311;472
312;473
313;474
314;475
315;476
316;477
317;478
318;479
319;480
320;482
321;483
322;484
323;485
324;486
325;487
326;488
327;490
328;491
329;492
330;493
331;495
332;497
333;498
334;499
335;500
336;501
337;502
338;503
339;505
340;506
341;508
342;509
343;510
344;511
345;514
346;516
347;517
348;518
349;519
350;520
351;522
352;523
353;525
354;526
355;527
356;528
357;529
358;531
359;533
360;534
361;535
362;536
363;537
364;538
365;539
366;540
367;541
368;542
369;543
370;544
371;545
372;547
373;549
374;550
375;551
376;552
377;553
378;554
379;556
380;557
381;558
382;559
383;560
384;561
385;562
386;563
387;565
388;566
389;567
390;568
391;569
392;570
393;571
394;572
395;573
396;574
397;576
398;578
399;579
400;580
401;582
402;583
403;584
404;585
405;586
406;587
407;588
408;589
409;590
410;591
411;592
412;593
413;594
414;596
415;597
416;599
417;600
418;601
419;602
420;603
421;604
422;605
423;606
424;607
425;608
426;609
427;610
428;611
429;612
430;613
431;614
432;615
433;617
434;618
435;619
436;620
437;621
438;622
439;623
440;624
441;626
442;627
443;629
444;630
445;632
446;633
447;634
448;635
449;637
450;639
451;640
452;641
453;643
454;644
455;645
456;646
457;648
458;649
459;650
460;652
461;653
462;654
463;655
464;656
465;657
466;658
467;659
468;660
469;663
470;664
471;665
472;667
473;668
474;669
475;670
476;671
477;672
478;673
479;675
480;676
481;677
482;678
483;679
484;680
485;681
486;682
487;683
488;684
489;685
490;686
491;690
492;691
493;692
494;693
495;694
496;695
497;696
498;697
499;698
500;699
501;700
502;701
503;703
504;705
505;706
506;707
507;708
508;709
509;710
510;711
511;712
512;713
513;714
514;715
515;716
516;717
517;718
518;719
519;720
520;721
521;722
522;724
523;725
524;726
525;728
526;729
527;730
528;731
529;732
530;733
531;734
532;735
533;736
534;737
535;738
536;740
537;741
538;742
539;743
540;744
541;745
542;746
543;747
544;748
545;749
546;750
547;751
548;752
549;753
550;754
551;755
552;756
553;757
554;758
555;759
556;760
557;761
558;762
559;763
560;764
561;765
562;766
563;768
564;769
565;770
566;772
567;773
568;774
569;775
570;776
571;777
572;778
573;779
574;780
575;781
576;782
577;783
578;784
579;785
580;786
581;787
582;788
583;789
584;790
585;792
586;793
587;794
588;796
589;797
590;798
591;799
592;800
593;801
594;802
595;803
596;804
597;805
598;806
599;808
600;809
601;810
602;811
603;812
604;814
605;815
606;816
607;817
608;818
609;819
610;821
611;823
612;824
613;825
614;826
615;827
616;828
617;829
618;830
619;831
620;832
621;833
622;834
623;835
624;838
625;840
626;841
627;842
628;843
629;844
630;845
631;846
632;848
633;849
634;851
635;852
636;853
637;855
638;856
639;857
640;858
641;859
642;861
643;862
644;863
645;864
646;865
647;867
648;868
649;871
650;872
651;873
652;874
653;875
654;876
655;877
656;878
657;879
658;880
659;881
660;882
661;883
662;885
663;890
664;891
665;893
666;894
667;909
668;914
669;916
670;919
671;924
672;925
673;929
674;930
675;931
676;932
677;933
678;934
679;935
680;936
681;937
682;938
683;939
684;940
685;941
686;942
687;948
688;949
689;953
690;956
691;960
692;961
693;972
694;974
695;975
696;976
697;978
698;987
699;988
700;989
701;992
702;993
703;994
704;1003
705;1006
706;1010
707;1015
708;1017
709;1018
710;1019
711;1020
712;1026
713;1027
714;1031
715;1034
716;1036
717;1037
718;1038
719;1039
720;1040
721;1041
722;1042
723;1044
724;1045
725;1047
726;1048
727;1050
728;1055
729;1061
730;1062
731;1065
732;1066
733;1067
734;1069
735;1070
736;1071
737;1074
738;1077
739;1081
740;1082
741;1091
742;1094
743;1096
744;1100
745;1101
746;1103
747;1105
748;1107
749;1108
750;1109
751;1114
752;1115
753;1121
754;1124
755;1129
756;1130
757;1135
758;1136
759;1139
760;1143
761;1144
762;1145
763;1148
764;1149
765;1150
766;1151
767;1152
768;1155
769;1156
770;1158
771;1160
772;1161
773;1162
774;1163
775;1168
776;1169
777;1171
778;1172
779;1173
780;1175
781;1178
782;1183
783;1184
784;1186
785;1187
786;1194
787;1195
788;1198
789;1199
790;1202
791;1209
792;1214
793;1219
794;1226
795;1228
796;1230
797;1239
798;1242
799;1243
800;1244
801;1245
802;1246
803;1249
804;1251
805;1253
806;1254
807;1255
808;1256
809;1257
810;1259
811;1260
812;1261
813;1262
814;1263
815;1264
816;1265
817;1266
818;1267
819;1268
820;1269
821;1271
822;1272
823;1275
824;1276
825;1277
826;1278
827;1279
828;1280
829;1281
830;1284
831;1285
832;1286
833;1288
834;1289
835;1290
836;1291
837;1292
838;1293
839;1294
840;1295
841;1296
842;1297
843;1299
844;1300
845;1301
846;1302
847;1303
848;1304
849;1305
850;1306
851;1307
852;1308
853;1310
854;1311
855;1312
856;1314
857;1315
858;1316
859;1317
860;1318
861;1319
862;1320
863;1321
864;1322
865;1323
866;1325
867;1326
868;1327
869;1328
870;1329
871;1330
872;1331
873;1332
874;1335
875;1336
876;1337
877;1338
878;1339
879;1340
880;1341
881;1343
882;1344
883;1345
884;1347
885;1348
886;1349
887;1350
888;1351
889;1353
890;1354
891;1355
892;1356
893;1357
894;1359
895;1361
896;1362
897;1364
898;1365
899;1366
900;1367
901;1369
902;1370
903;1371
904;1372
905;1373
906;1374
907;1375
908;1376
909;1377
910;1379
911;1380
912;1381
913;1383
914;1384
915;1385
916;1386
917;1387
918;1388
919;1389
920;1392
921;1394
922;1400
923;1402
924;1403
925;1406
926;1408
927;1409
928;1410
929;1411
930;1413
931;1416
932;1417
933;1418
934;1419
935;1420
936;1421
937;1422
938;1423
939;1427
940;1428
941;1429
942;1431
943;1432
944;1433
945;1437
946;1440
947;1441
948;1442
949;1443
950;1444
951;1446
952;1447
953;1448
954;1451
955;1452
956;1453
957;1454
958;1455
959;1456
960;1457
961;1458
962;1460
963;1461
964;1462
965;1464
966;1467
967;1468
968;1469
969;1470
970;1471
971;1472
972;1473
973;1474
974;1476
975;1477
976;1478
977;1479
978;1480
979;1481
980;1482
981;1483
982;1484
983;1485
984;1486
985;1487
986;1488
987;1489
988;1490
989;1491
990;1492
991;1493
992;1494
993;1495
994;1496
995;1497
996;1498
997;1500
998;1501
999;1502
