,Id_Canton,nombre,Codigo Cantón,población
0,2,CHORDELEG,111,15176
1,3,CUENCA,101,636996
2,4,EL PAN,112,3091
3,6,GUACHAPALA,114,3859
4,7,GUALACEO,103,49104
5,9,OÑA,110,4128
6,10,PAUTE,105,29214
7,12,SAN FERNANDO,107,4156
8,13,SANTA ISABEL,108,20935
9,14,SEVILLA DE ORO,113,6890
10,15,SIGSIG,109,30509
11,16,CALUMA,206,16429
12,17,CHILLANES,202,16850
13,20,GUARANDA,201,108763
14,21,LAS NAVES,207,7428
15,22,SAN MIGUEL,205,29004
16,23,AZOGUES,301,86276
17,25,CAÑAR,303,68747
18,27,EL TAMBO,305,12462
19,28,LA TRONCAL,304,76872
20,29,SUSCAL,307,6516
21,30,ESPEJO,403,13817
22,31,MIRA,404,11969
23,33,SAN PEDRO DE HUACA,406,8931
24,36,CHAMBO,604,13378
25,37,CHUNCHI,605,12795
26,38,COLTA,603,44838
27,40,GUAMOTE,606,58291
28,41,GUANO,607,48395
29,42,PALLATANGA,608,12277
30,43,PENIPE,609,6955
31,44,RIOBAMBA,601,264048
32,46,LATACUNGA,501,205624
33,47,PANGUA,503,24612
34,49,SALCEDO,505,67100
35,51,SIGCHOS,507,23277
36,52,ARENILLAS,702,33473
37,53,ATAHUALPA,703,6436
38,54,BALSAS,704,9233
39,55,EL GUABO,706,63645
40,56,HUAQUILLAS,707,60440
41,57,LAS LAJAS,714,4963
42,58,MACHALA,701,289141
43,60,PASAJE,709,87723
44,61,PIÑAS,710,30206
45,62,PORTOVELO,711,14028
46,63,SANTA ROSA,712,82171
47,64,ZARUMA,713,25654
48,67,ELOY ALFARO,802,45629
49,68,ESMERALDAS,801,218727
50,69,MUISNE,803,31106
51,72,SAN LORENZO,805,62772
52,73,ISABELA,2002,3073
53,75,SANTA CRUZ,2003,20302
54,77,BALAO,903,26348
55,78,BALZAR,904,60260
56,79,CORONEL MARCELINO MARIDUEÑA,923,13132
57,80,DAULE,906,173684
58,82,EL EMPALME,908,86073
59,83,EL TRIUNFO,909,59636
60,84,GENERAL ANTONIO ELIZALDE,927,13156
61,85,GUAYAQUIL,901,2723665
62,86,LOMAS DE SARGENTILLO,924,24220
63,87,MILAGRO,910,199835
64,88,NARANJAL,911,95052
65,89,NARANJITO,912,43862
66,90,NOBOL,925,26444
67,91,PEDRO CARBO,914,51802
68,92,PLAYAS,921,59628
69,97,ANTONIO ANTE,1002,54311
70,98,COTACACHI,1003,44203
71,99,IBARRA,1001,221149
72,100,OTAVALO,1004,125785
73,101,PIMAMPIRO,1005,13269
74,103,CALVAS,1102,29565
75,104,CATAMAYO,1103,35961
76,105,CELICA,1104,16160
77,106,CHAGUARPAMBA,1105,6620
78,109,LOJA,1101,274112
79,111,OLMEDO,1116,4220
80,111,OLMEDO,1116,10194
81,111,OLMEDO,1318,4220
82,111,OLMEDO,1318,10194
83,112,PALTAS,1109,23471
84,113,PINDAL,1114,10540
85,114,PUYANGO,1110,15925
86,115,SARAGURO,1111,33506
87,116,ZAPOTILLO,1113,14325
88,117,BABA,1202,43429
89,118,BABAHOYO,1201,175281
90,120,MOCACHE,1212,43316
91,121,MONTALVO,1203,28720
92,122,PALENQUE,1209,23638
93,123,PUEBLOVIEJO,1204,44725
94,124,QUEVEDO,1205,213842
95,125,QUINSALOMA,1213,20428
96,126,VALENCIA,1211,54637
97,127,VENTANAS,1207,75146
98,129,24 DE MAYO,1316,28514
99,131,CHONE,1303,131002
100,132,EL CARMEN,1304,111344
101,133,FLAVIO ALFARO,1305,23822
102,134,JAMA,1320,26116
103,136,JIPIJAPA,1306,74645
104,138,MANTA,1308,264281
105,139,MONTECRISTI,1309,107785
106,141,PEDERNALES,1317,63441
107,142,PORTOVIEJO,1301,321800
108,144,ROCAFUERTE,1312,37312
109,145,SAN VICENTE,1322,24799
110,146,SANTA ANA,1313,48152
111,147,SUCRE,1314,62443
112,148,TOSAGUA,1315,42297
113,149,GUALAQUIZA,1402,19555
114,151,LOGROÑO,1410,7643
115,152,MORONA,1401,58281
116,154,PALORA,1404,7719
117,155,SAN JUAN BOSCO,1408,4985
118,156,SANTIAGO,1405,11087
119,158,TIWINTZA,1412,11041
120,159,ARCHIDONA,1503,33068
121,161,EL CHACO,1504,10142
122,162,QUIJOS,1507,6847
123,163,TENA,1501,79182
124,164,AGUARICO,2202,3629
125,165,LA JOYA DE LOS SACHAS,2203,39352
126,166,LORETO,2204,24579
127,167,ORELLANA,2201,93778
128,168,MERA,1602,17547
129,169,PASTAZA,1601,84377
130,170,SANTA CLARA,1603,4150
131,171,CAYAMBE,1702,107660
132,173,PEDRO MONCAYO,1704,43281
133,174,PEDRO VICENTE MALDONADO,1708,17171
134,175,PUERTO QUITO,1709,24911
135,176,QUITO,1701,2781641
136,177,RUMIÑAHUI,1705,115433
137,178,SAN MIGUEL DE LOS BANCOS,1707,29969
138,180,SALINAS,2403,94590
139,181,SANTA ELENA,2401,188821
140,183,LA CONCORDIA,808,52571
141,185,CASCALES,2106,15882
142,186,CUYABENO,2107,7154
143,187,GONZALO PIZARRO,2102,10007
144,188,LAGO AGRIO,2101,119594
145,189,PUTUMAYO,2103,16106
146,190,SHUSHUFINDI,2104,57949
147,192,AMBATO,1801,387309
148,194,CEVALLOS,1803,9936
149,195,MOCHA,1804,7336
150,196,PATATE,1805,15825
151,197,QUERO,1806,20627
152,198,SAN PEDRO DE PELILEO,1807,66836
153,200,TISALEO,1809,14317
154,202,CHINCHIPE,1902,10679
155,203,EL PANGUI,1906,10945
156,204,NANGARITZA,1903,8014
157,205,PALANDA,1908,10144
158,206,PAQUISHA,1909,5992
159,208,ZAMORA,1901,32761
