id_Parroquia,nombre,cabecera,Id_Canton,id_direccion
"0,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"1,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"2,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"3,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"4,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"5,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"6,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"7,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"8,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"9,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"10,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"11,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"12,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"13,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"14,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"15,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"16,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"17,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"18,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"19,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"20,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"21,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"22,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"23,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"24,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"25,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL"",1,1"
"26,""CHORDELEG, CABECERA CANTONAL"",2,2"
"27,""CHORDELEG, CABECERA CANTONAL"",2,2"
"28,""CHORDELEG, CABECERA CANTONAL"",2,2"
"29,""CHORDELEG, CABECERA CANTONAL"",2,2"
"30,""CHORDELEG, CABECERA CANTONAL"",2,2"
"31,""CHORDELEG, CABECERA CANTONAL"",2,2"
"32,""CHORDELEG, CABECERA CANTONAL"",2,2"
"33,""CHORDELEG, CABECERA CANTONAL"",2,2"
"34,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"35,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"36,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"37,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"38,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"39,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"40,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"41,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"42,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"43,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"44,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"45,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"46,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"47,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"48,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"49,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"50,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"51,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"52,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"53,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"54,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"55,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"56,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"57,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"58,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"59,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"60,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"61,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"62,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"63,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"64,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"65,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"66,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"67,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"68,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"69,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"70,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
