id_Provincia,id_canton,nombre,ventas_generadas,Establecimientos_reg _xProvi
0,1.0,AZUAY,291,1300.0
1,2.0,BOLÍVAR,2041,107.0
2,3.0,CAÑAR ,,366.0
3,4.0,CARCHI,2041.8,132.0
4,378.0,378.0,378.0,378.0
5,6.0,COTOPAXI,291,336.0
6,7.0,EL ORO,2041.8,514.0
7,8.0,ESMERALDAS,2041.8,181.0
8,9.0,GALÁPAGOS,1329.4,103.0
9,10.0,GUAYAS,378.0,323.0
10,11.0,IMBABURA,291.0,1694.0
11,12.0,LOJA,378.0,514.0
12,13.0,LOS RÍOS,291.0,202.0
13,14.0,MANABÍ ,,338.0
14,15.0,MORONA SANTIAGO,291.0,541.0
15,16.0,NAPO,378.0,184.0
16,17.0,ORELLANA,291,118.0
17,18.0,PASTAZA,378,375.0
18,19.0,PICHINCHA,2041.8,370.0
19,20.0,SANTA ELENA,2041.8,294.0
20,21.0,SANTO DOMINGO DE LOS TSÁCHILAS,378.8,163.0
21,22.0,SUCUMBÍOS,291,148.0
22,23.0,TUNGURAHUA,2041.8,658.0
23,24.0,ZAMORA CHINCHIPE,378.0,239.0
