id_direccion,Direccion,Referencia ,id_establecimiento,Parroquia;
"0,PANAMERICANA,,0,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"1,28 DE MARZO Y 3 DE NOVIEMBRE,,1,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"2,EL CISNE,,2,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"3,AV PANAMERICANA S/N 28 DE MARZO,DIAGONAL AL MUNICIPIO,3,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"4,BELLA RICA,,4,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"5,""SAN ALFONSO, SECTOR LA INDEPENDENCIA"",,5,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"6,av panamericana s/N BARRIO LA FLORIDA, FRENTA AL POLLO ALEX ,6,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"7,CAMILO PONCE ENRIQUEZ,,7,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"8,24 DE ENERO S/N ELOY BARROS,A CINCUENTA METROS DEL PARQUE,8,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"9,""RUBEN GUERRERO Y FRANCISCO VIDAL, BARRIO EL MANANTIAL"",,9,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"10,BARRIO LAS PALMERAS,,10,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"11,PANAMERICANA S/N Y ALBERTO CHERREZ,,11,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"12,ELOY BARROS ARIAS S/N 28 DE MARZO,FRENTE AL PARQUE CENTRAL,12,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"13,Via Panamericana s/n S/N, Frente a la Cancha De uso Multiple del Barrio Señor de los Milagros&nbsp  ,13,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"14,""PANAMERICANA, VIA GUAYAQUIL KM 2, DIAGONAL A GASOLINERA PRIMAX"",,14,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"15,ELOY BARROS Y 24 DE ENERO,,15,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"16,SAN FRANCISCO Y VIA PANAMERICANA,,16,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"17,JUAN MONTALVO Y EL MANANTIAL,,17,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"18,8 DE SEPTIEMBRE S/N 24 DE ENERO,,18,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"19,""AV. RIO SIETE Y ARTURO TOALONGO, BARRIO 3 DE NOVIEMBRE"",,19,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"20,HUGO BARZALLO S/N Y ERNESTO TOALONGO,,20,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
"21,PANAMERICANA SUR Y 24 DE ENERO,,21,""CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL""";
